sample_id,sample_date,stream_ion,ion_conc
MPR,1993-03-23,K,0.8
MPR,1993-03-23,Mg,2.46
MPR,1993-03-23,Ca,9.72
MPR,1993-03-23,NO3-N,46
MPR,1993-03-30,K,0.71
MPR,1993-03-30,Mg,2.39
MPR,1993-03-30,Ca,8.79
MPR,1993-03-30,NO3-N,132
MPR,1993-04-06,K,0.85
MPR,1993-04-06,Mg,2.46
MPR,1993-04-06,Ca,10.02
MPR,1993-04-06,NO3-N,119
MPR,1993-04-13,K,0.82
MPR,1993-04-13,Mg,2.46
MPR,1993-04-13,Ca,10.68
MPR,1993-04-13,NO3-N,57
MPR,1993-04-20,K,0.96
MPR,1993-04-20,Mg,2.31
MPR,1993-04-20,Ca,9.75
MPR,1993-04-20,NO3-N,72
